English,Polish
street,ulica
hang,powiesić
dance,taniec
meeting,spotkanie
till,do
others,inni
catch,złapać
follow,podążać
sense,sens
sex,seks
lie,kłamstwo
evening,wieczór
master,gospodarz
known,znany
dream,marzenie
write,pisać
million,milion
voice,głos
sweet,słodki
rather,raczej
felt,filc
sign,podpisać
lucky,mający szczęście
somewhere,gdzieś
bet,Zakład
o,o
jesus,Jezus
longer,dłużej
calling,powołanie
worked,pracował
quiet,cichy
looked,wyglądał
less,mniej
pull,ciągnąć
beat,pokonać
careful,ostrożny
coffee,Kawa
return,powrót
secret,sekret
weeks,tygodnie
weren,Weren
date,data
seeing,widzenie
fall,jesień
given,dany
ooh,ooh
fault,wada
straight,prosty
takes,trwa
song,piosenka
future,przyszły
gentlemen,Panowie
loved,kochany
changed,zmienione
road,droga
calm,spokój
wonderful,wspaniały
mad,szalony
turned,obrócony
drop,upuszczać
ladies,damski
learn,uczyć się
step,krok
absolutely,absolutnie
early,wczesny
explain,wyjaśnić
clean,czysty
piece,sztuka
yesterday,Wczoraj
throw,rzucić
picture,zdjęcie
land,grunt
feet,stopy
wonder,zastanawiać się
questions,pytania
speaking,Mówienie
worth,wartość
darling,Kochanie
dude,gość
giving,dający
president,prezydent
eye,oko
quick,szybki
moving,poruszający
figure,postać
state,państwo
strong,mocny
sam,Sam
none,nic
amazing,niesamowity
ones,te
works,Pracuje
act,działać
needed,potrzebne
weird,dziwny
law,prawo
worried,zmartwiony
report,raport
goodbye,do widzenia
missing,zaginiony
choice,wybór
happening,wydarzenie
chief,szef
wedding,ślub
strange,dziwny
general,ogólny
pain,ból
am,jestem  
kidding,żart
decided,zdecydowany
ya,ya
pass,przechodzić
tired,zmęczony
class,klasa
officer,oficer
kept,trzymane
wake,budzić
worse,gorzej
busy,zajęty
eh,Eh
mistake,błąd
kiss,pocałunek
court,sąd
building,budynek
finish,skończyć
during,podczas
age,wiek
ship,statek
caught,złapany
marry,ożenić
meant,oznaczał
sell,sprzedać
dark,ciemny
watching,oglądanie
system,system
suppose,przypuszczać
evidence,dowód
movie,film
ride,jeździć
t,T
completely,całkowicie
mouth,usta
totally,całkowicie
birthday,urodziny
tv,telewizja
forgive,Wybacz
born,urodzić się
imagine,wyobrażać sobie
information,Informacja
instead,Zamiast
definitely,zdecydowanie
security,bezpieczeństwo
certainly,z pewnością
film,film
month,miesiąc
lying,kłamliwy
unless,chyba że
train,pociąg
seven,siedem
wear,nosić 
clothes,odzież
michael,Michael
hotel,hotel
christmas,Boże Narodzenie
attack,atak
hasn,HAD
round,okrągły
expect,oczekiwać
sing,śpiewać
terrible,straszny
george,Jerzy
bag,torba
history,historia
blue,niebieski
near,w pobliżu
broke,złamał
station,stacja
seriously,poważnie
forever,na zawsze
david,David
frank,szczery
except,z wyjątkiem
thinks,myśli
message,wiadomość
entire,cały
joe,Joe
table,tabela
talked,rozmawiałem
across,przez
rock,głaz
lovely,śliczny
handle,uchwyt
middle,środek
buddy,kumpel
paid,płatny
protect,chronić
using,za pomocą
floor,podłoga
ran,biegł
swear,przeklinać
spend,wydawać
situation,sytuacja
ring,pierścień
anywhere,gdziekolwiek
dangerous,niebezpieczny
bill,rachunek
york,York
army,armia
lead,Ołów
bought,kupił
finished,skończone
fair,sprawiedliwy
sun,słońce
letter,list
fool,głupiec
attention,uwaga
club,Klub
simple,prosty
interesting,ciekawy
space,przestrzeń
test,test
box,skrzynka
group,Grupa
single,pojedynczy
sitting,posiedzenie
marriage,małżeństwo
join,dołączyć
fear,strach
d,D
peace,pokój
forgot,zapomniałem
force,siła
short,krótki
normal,normalna
charlie,Charlie
present,obecny
enjoy,Cieszyć się
mike,mikrofon
crime,przestępczość
horse,koń
ground,grunt
american,amerykański
count,liczyć
area,obszar
charge,opłata
honor,honor
lunch,obiad
miles,mil
radio,radio
idiot,idiota
ball,piłka
surprise,niespodzianka
paper,papier
key,klucz
boat,łódź
quickly,szybko
gold,złoto
bar,bar
fish,ryba
mark,ocena
tom,Tomek
wearing,ma na sobie
crying,płacz
accident,wypadek
government,rząd
eight,osiem
fell,ściąć
cover,okładka
certain,niektórzy
interested,zainteresowany
deep,głęboko
star,gwiazda
sea,morze
agree,zgadzać się
problems,problemy
detective,detektyw
prison,więzienie
major,główny
stick,stick
offer,oferta
difficult,trudny
smart,mądry
personal,osobisty
record,nagrywać
stopped,zatrzymany
hide,ukrywać
whether,czy
bank,Bank
trip,wycieczka
relax,zrelaksować się
america,Ameryka
public,publiczny
list,lista
afternoon,popołudnie
brain,mózg
fix,naprawić
bastard,bękart
proud,dumny
tea,herbata
service,praca
screaming,Krzyczenie
forward,do przodu
angry,zły
park,park
soul,dusza
fighting,walczący
peter,Piotr
rich,bogaty
agent,agent
blow,cios
paul,Paweł
dress,sukienka
mary,Mary
missed,pominięty
scene,scena
killing,zabicie
standing,na stojąco
saved,uratowany
mm,mm
respect,szacunek
killer,zabójca
ice,lód
mess,bałagan
tough,trudny
feels,odczucia
church,kościół
sad,smutny
cell,komórka
drunk,pijany
share,udział
camera,kamera
mm-hmm,MM-HMM
within,w
card,karta
fly,latać
ben,Ben
girlfriend,dziewczyna
laugh,śmiech
smell,zapach
broken,złamany
mum,milczący
honest,uczciwy
often,często
starting,startowy
calls,połączenia
y,y
spent,zużyty
third,trzeci
english,język angielski
visit,odwiedzać
mama,mama
judge,sędzia
window,okno
hungry,głodny
dare,odważyć się
relationship,relacja
moved,przeniósł
prove,udowodnić
private,prywatny
wall,ściana
seat,siedziba
i-i,I-i
position,pozycja
lieutenant,porucznik
realize,realizować
lt,Lt
especially,zwłaszcza
machine,maszyna
walking,pieszy
art,sztuka
pleasure,przyjemność
bloody,krwawy
college,Szkoła Wyższa
french,Francuski
involved,zaangażowany
cry,płakać
became,stał się
lived,żył
impossible,niemożliwe
obviously,oczywiście
neither,żaden
accept,zaakceptować
boyfriend,chłopak
besides,Oprócz
queen,królowa
teacher,nauczyciel
cops,gliny
sake,powód
loves,kocha
carry,nosić
teach,uczyć
apartment,apartament
upset,zdenerwowany
green,zielony
la,la
liked,lubił
cute,Uroczy
evil,zło
professor,profesor
contact,kontakt
joke,żart
cop,policjant
huge,ogromny
holy,święty
store,sklep
jail,więzienie
likes,lubi
lawyer,prawnik
doubt,wątpliwość
continue,Kontynuować
appreciate,doceniać
cat,kot
shop,sklep
driving,napędowy
congratulations,Gratulacje
wrote,napisał
village,wieś
quit,zrezygnować 
field,pole
james,James
wine,wino
decision,decyzja
south,południe
sleeping,spanie
slow,powolny
laughter,śmiech
island,wyspa
glass,szkło
beginning,początek
cash,gotówka
dying,umierający
hundred,sto
whose,którego
difference,różnica
plane,samolot
push,naciskać
continues,trwa
mmm,mmm
singing,śpiewanie
eating,jedzenie
north,północ
mrs,pani
tree,drzewo
madam,Szanowna Pani
gift,prezent
truck,ciężarówka
putting,umieszczanie
bear,niedźwiedź
board,tablica
grab,złapać
beer,piwo
stuck,zablokowany
magic,magia
support,wsparcie
rules,zasady
grunts,chrząknięcie
partner,partner
reach,zasięg
wind,wiatr
colonel,pułkownik
max,Max
immediately,natychmiast
seconds,sekundy
thousand,tysiąc
gives,daje
experience,doświadczenie
cheers,dzięki
victim,ofiara
upon,od
computer,komputer
christ,Chrystus
planet,planeta
promised,Obiecane
bus,autobus
henry,henz
dirty,brudny
search,szukaj
staying,przebywający
dreams,sny
arrest,aresztować
holding,trzymać
suddenly,Nagle
usually,zazwyczaj
lots,dużo
shoes,buty
er,ER
jump,skok
rid,eliminować
yo,Siema
knock,pukanie
owe,być winnym
harry,złupić
grow,rosnąć
worst,najgorszy
river,rzeka
aunt,ciotka
patient,pacjent
kitchen,kuchnia
aah,Aah
fat,tłuszcz
passed,przeszedł
m,M
final,finał
summer,lato
bob,pion
listening,słuchający
escape,ucieczka
everywhere,wszędzie
moon,księżyc
arms,ramiona
turns,zakręty
address,adres
ow,OW
match,mecz
gasps,Sapps
grand,wielki
yep,Tak
shh,shh
nervous,nerwowy
de,de
choose,wybierać
themselves,sobie
decide,decydować
mate,kumpel
drinking,picie
press,naciskać
bother,silić się
foot,stopa
hadn,Had
blame,winić
crap,gówno
drugs,narkotyki
type,typ
rings,pierścienie
mission,misja
named,o imieniu
heaven,niebo
ii,ii
picked,doborowy
paris,Paryż
race,wyścig
risk,ryzyko
books,książki
further,dalej
danny,Danny
action,działanie
allowed,dozwolony
orders,Zamówienia
learned,nauczyli
price,cena
arrived,przybył
nick,nacięcie
otherwise,W przeciwnym razie
pictures,kino
fit,pasować
smoke,palić
favor,przychylność
played,grał
notice,ogłoszenie
awesome,Wspaniały
smile,uśmiech
director,dyrektor
guard,strażnik
begin,zaczynać
spot,miejsce
surprised,zaskoczony
innocent,niewinny
narrator,narrator
herself,się
london,Londyn
feelings,uczucia
enemy,wróg
battle,bitwa
ourselves,my sami
alex,Alex
dollars,dolary
allow,umożliwić
nine,dziewięć
gay,Gay
department,dział
guilty,winny
apart,oprócz
earlier,wcześniej
duty,obowiązek
jim,Jim
suit,garnitur
bell,dzwonek
west,Zachód
legs,nogi
hero,bohater
destroy,zniszczyć
stage,scena
bunch,garść
according,według
chicken,kurczak
bigger,Większy
grunting,pochrząkiwanie
low,Niski
helping,agregat
admit,przyznawać 
closed,Zamknięte
names,nazwy
witness,świadek
upstairs,na górę
arm,ramię
steal,ukraść
jimmy,Jimmy
kick,kopnięcie
twice,dwa razy
cross,przechodzić
ways,sposoby
sergeant,sierżant
indeed,Rzeczywiście
gas,gaz
keeping,konserwacja
energy,energia
pregnant,w ciąży
waste,marnować
helped,pomógł
fired,zwolniony
favorite,ulubiony
tony,Tony
taste,smak
locked,zablokowany
places,miejsca
writing,pismo
adam,Adam
brothers,bracia
starts,zaczyna się
prince,książę
form,formularz
sold,sprzedany
silly,głupi
mention,wzmianka
build,zbudować
throat,gardło
hole,otwór
figured,wzorzysty
track,ścieżka
ringing,dzwonienie
lock,zamek
leg,noga
above,powyżej
hiding,ukrywanie
steve,Steve
seemed,wydawało się
breakfast,śniadanie
engine,silnik
written,pisemny
complete,kompletny
video,wideo
applause,oklaski
however,Jednakże
pressure,ciśnienie
fresh,świeży
weapon,broń
sky,niebo
ms.,SM.
stole,Ukradłem
study,badanie
burn,oparzenie
reading,czytanie
crowd,tłum
treat,traktować
roll,rolka
double,podwójnie
spirit,duch
danger,niebezpieczeństwo
cost,koszt
empty,pusty
level,poziom
memory,pamięć
itself,samo
acting,gra aktorska
interest,odsetki
nose,nos
plans,plany
following,następny
bathroom,łazienka
built,wybudowany
closer,bliższy
ray,promień
sarah,Sarah
band,zespół
groans,stękanie
apparently,najwyraźniej
excited,podekscytowany
richard,Richard
losing,przegrywający
animals,Zwierząt
flight,lot
nature,Natura
raise,wznosić
pop,Muzyka pop
client,klient
bomb,bomba
neck,szyja
suspect,podejrzany
warm,ciepły
extra,dodatkowy
bottle,butelka
van,awangarda
heavy,ciężki
mommy,mamusia
dogs,psy
wild,dziki
ridiculous,śmieszny
simply,po prostu
lee,zawietrzny
animal,zwierzę
showed,pokazane
billy,menażka
shooting,strzelanie
keeps,Keeps
camp,obóz
guns,pistolety
medical,medyczny
shame,wstyd
hoping,Mając nadzieję
whom,kogo
bird,ptak
majesty,majestat
flowers,kwiaty
famous,słynny
asleep,we śnie
beauty,uroda
driver,kierowca
keys,Klucze
rain,deszcz
awful,okropny
large,duży
local,lokalny
deserve,zasługiwać
goddamn,przeklęty
stone,kamień
jane,Jane
grace,łaska
consider,rozważać
weekend,weekend
wondering,zastanawianie się
lay,położyć
plenty,mnóstwo
willing,chętny
pants,spodnie
sweetheart,kochanie
skin,skóra
excellent,doskonały
asshole,dupek
beach,plaża
c,C
faith,wiara
beg,błagać
fuckin,kurwa
responsible,odpowiedzialny
military,wojskowy
cheering,doping
opportunity,możliwość
common,wspólny
bottom,spód
german,Niemiecki
whoever,ktokolwiek
cook,kucharz
walked,Poszedł
papers,dokumenty tożsamości
justice,sprawiedliwość
hall,hala
commander,dowódca
drug,lek
main,główny
knife,nóż
devil,diabeł
necessary,niezbędny
although,Chociaż
princess,księżniczka
lights,światła
flying,latający
dick,kutas
rose,Róża
knowing,porozumiewawczy
clearly,Wyraźnie
hat,kapelusz
agreed,Zgoda
johnny,Jasio
corner,narożnik
code,kod
note,notatka
tommy,Tommy
due,należny
correct,prawidłowy
apologize,przepraszać
language,język
stars,gwiazdy
faster,szybciej
cars,samochody
folks,ludzie
bullshit,głupie gadanie
i.,I.
fellow,kolega
several,kilka
grandma,babcia
shows,przedstawia
leader,lider
leaves,liście
restaurant,restauracja
east,wschód
shouting,rozkrzyczany
blind,ślepy
ghost,duch
cup,filiżanka
gotten,Got
tight,obcisły
conversation,rozmowa
tells,mówi
lies,kłamstwa
nor,ani
pulled,pociągnięty
hanging,wiszące
speed,prędkość
stories,historie
health,zdrowie
advice,rada
held,trzymany
uh-huh,UH Huh
murdered,zamordowany
beyond,poza
rule,reguła
hardly,ledwie
possibly,prawdopodobnie
inspector,inspektor
cousin,kuzyn
trial,test
emergency,nagły wypadek
ought,powinien
eddie,Eddie
somehow,jakoś
hearing,przesłuchanie
states,państwa
account,konto
spoke,przemówił
file,plik
understood,zrozumiany
angel,anioł
tape,taśma
milk,mleko
powerful,potężny
weapons,bronie
practice,ćwiczyć
manager,menedżer
pardon,pardon
vote,głosować
jake,Jake
national,krajowy
career,kariera
minister,minister
super,Super
taught,nauczał
robert,Robert
biggest,największy
plays,gra
natural,naturalny
dancing,taniec
copy,Kopiuj
plus,plus
martin,jaskółka oknówka
cake,ciasto
freedom,wolność
among,wśród
breath,oddech
operation,operacja
chris,Chris
crew,załoga
challenge,wyzwanie
market,rynek
meat,mięso
towards,w kierunku
bringing,przynoszący
dropped,upuszczony
student,student
lied,skłamał
strength,wytrzymałość
size,rozmiar
breathe,oddychać
color,kolor
monster,potwór
loud,głośny
photo,zdjęcie
aw,aw
nearly,prawie
sight,wzrok
greatest,Największy
games,Gry
bridge,most
dressed,ubrany
arrested,aresztowany
horrible,straszny
coach,trener
planning,planowanie
checked,sprawdzony
breaking,łamanie
noticed,zauważony
fantastic,fantastyczny
screams,krzyki
serve,podawać
ideas,pomysły
investigation,dochodzenie
center,Centrum
older,starsze
pack,Pakiet
soldiers,żołnierski
nonsense,nonsens
doc,Doc
project,projekt
training,szkolenie
example,przykład
trick,sztuczka
prepared,przygotowany
science,nauka
united,zjednoczony
travel,podróż
incredible,niesamowity
grandpa,dziadek
paying,intratny
character,postać
teeth,zęby
criminal,kryminalista
charles,Charles
chinese,chiński
truly,naprawdę
honestly,Szczerze mówiąc
bro,brachu
survive,przetrwać
bobby,konstabl
target,cel
feed,karmić
nurse,pielęgniarka
e,mi
fake,podróbka
records,dokumentacja
breathing,oddechowy
sweetie,kochanie
numbers,liczby
oil,olej
suicide,samobójstwo
belong,przynależeć
whoo,Whoo
perfectly,doskonale
amy,Amy
forgotten,zapomniany
remain,pozostać
original,oryginalny
papa,papa
onto,na
concerned,zainteresowany
credit,kredyt
ugh,Ugh
invited,zaproszony
discuss,omówić
research,badania
easier,łatwiej
view,pogląd
chair,krzesło
hurts,boli
strike,strajk
roger,zrozumiałem
fill,wypełnić
condition,stan
mountain,Góra
dr,dr
nowhere,nigdzie
sheriff,szeryf
kim,Kim
turning,obrócenie
brown,brązowy
recognize,rozpoznać
heads,głowy
audience,publiczność
all,Wszystko
jealous,zazdrosny
pretend,udawać
society,społeczeństwo
finding,odkrycie
shirt,koszula
comfortable,wygodny
meaning,oznaczający
guest,gość
pieces,sztuki
dry,suchy
letting,pozwalając
began,rozpoczął się
aye,zawsze
jeff,Jeff
female,Kobieta
release,uwolnienie
ho,Ho
cards,karty
pray,modlić się
unfortunately,Niestety
balls,kulki
destroyed,zniszczony
ended,zakończyło się
universe,wszechświat
prepare,przygotowywać
opinion,opinia
movies,kino
soldier,żołnierz
wash,myć się
program,program
heat,ciepło
usual,zwykły
ticket,bilet
stolen,skradziony
prefer,woleć
aware,świadomy
surely,pewno
male,Mężczyzna
base,baza
matters,spraw
lift,winda
lab,laboratorium
command,Komenda
proof,dowód
cream,krem
selling,sprzedawanie
believed,wierzył
create,tworzyć
h,H
afford,pozwalać
sunday,niedziela
total,całkowity
dumb,głupi
threw,rzucił
france,Francja
birth,narodziny
created,Utworzony
realized,realizowany
british,brytyjski
noise,hałas
nuts,orzechy
students,studenci
birds,ptaki
social,społeczny
brilliant,genialny
bodies,ciała
tie,krawat
opened,otwierany
ours,nasz
bucks,Bucks
kevin,Kevin
mister,pan
ugly,brzydki
ryan,Ryan
focus,centrum
dan,Dan
opens,otwiera się
exist,istnieć
followed,poszedł za nimi
england,Anglia
draw,rysować
purpose,zamiar
letters,listy
daniel,Daniel
opening,otwarcie
bullet,pocisk
anna,Ania
lately,ostatnio
stayed,Został
falling,spadający
season,pora roku
ends,kończy się
suggest,sugerować
joy,radość
distance,dystans
responsibility,odpowiedzialność
whenever,"zawsze, gdy"
issue,wydanie
thousands,tysiące
process,proces
sword,miecz
shower,prysznic
weak,słaby
fucked,Pieprzony
lonely,samotny
happiness,szczęście
eric,Eric
tiny,malutki
desk,biurko
pool,basen
property,nieruchomość
forced,wymuszony
settle,rozstrzygnąć
indistinct,niewyraźny
weight,waga
received,otrzymane
gang,banda
bite,ugryzienie
friday,piątek
disappeared,zniknął
interview,wywiad
expecting,przy nadziei
kinda,poniekąd
surgery,chirurgia
horses,konie
mayor,burmistrz
babe,dziecko
ancient,starożytny
handsome,przystojny
thomas,Tomasz
saturday,sobota
staff,personel
lines,linie
unit,jednostka
fan,wentylator
gentleman,pan
introduce,wprowadzić
fate,los
split,podział
recently,Ostatnio
expected,oczekiwany
add,dodać
ordered,zamówiono
slowly,powoli
alarm,alarm
member,członek
slept,spał
signed,podpisane
enter,Wchodzić
spanish,hiszpański
garden,ogród
brings,przynosi
brave,odważny
pig,świnia
model,Model
finger,palec
medicine,medycyna
access,dostęp
failed,przegrany
flat,płaski
easily,łatwo
discovered,odkryty
based,na podstawie
screw,śruba
insane,obłąkany
cares,troszczy się
weather,pogoda
fingers,palce
san,San
scott,Scott
path,ścieżka
soft,miękki
harm,szkoda
style,styl
community,wspólnota
sees,widzi
basically,zasadniczo
al,glin
signal,sygnał
nope,Nie
spare,zapasowy
speech,przemówienie
covered,pokryty
shake,potrząsnąć
loose,luźny
snow,śnieg
russian,Rosyjski
lake,jezioro
bright,jasny
roof,dach
ohh,Och
sending,wysyłanie
paint,farba
remind,przypomnieć
pal,kumpel
naked,nagi
post,post
sugar,cukier
heading,nagłówek
streets,ulice
damage,szkoda
silence,cisza
doors,drzwi
pete,Pete
ed,wyd
success,powodzenie
wet,mokry
nah,Nie
amount,kwota
members,członkowie
kate,Kate
manage,zarządzać
safety,bezpieczeństwo
returned,zwrócony
harder,trudniej
fbi,FBI
block,blok
showing,seans
fancy,wymyślny
